user_id,subscription_start_date,plan_type,price_usd,subscription_end_date
829,2024-04-22,basic,12.99,
2003,2024-02-02,premium,12.99,
415,2024-01-25,basic,12.99,
1232,2024-03-29,standard,7.99,
2984,2024-02-20,premium,12.99,
2093,2024-07-04,basic,17.99,
1816,2024-03-02,premium,12.99,
2647,2024-02-01,basic,17.99,
455,2024-02-19,standard,12.99,
2500,2024-05-13,premium,12.99,
2862,2024-04-10,basic,7.99,
2344,2024-01-13,premium,7.99,
510,2024-04-06,premium,17.99,
640,2024-05-04,standard,12.99,
244,2024-04-03,premium,17.99,
2619,2024-05-26,premium,7.99,
1464,2024-04-24,basic,7.99,
227,2024-05-01,standard,12.99,
1420,2024-02-03,basic,7.99,
1365,2024-05-13,standard,17.99,
2156,2024-07-12,premium,12.99,
388,2024-06-02,basic,17.99,
475,2024-01-16,standard,7.99,
2125,2024-06-20,basic,7.99,
148,2024-02-20,standard,7.99,
2682,2024-03-23,basic,7.99,
2576,2024-06-16,premium,12.99,
2155,2024-01-26,premium,12.99,
1742,2024-02-19,standard,12.99,
1318,2024-02-28,basic,12.99,
941,2024-02-18,basic,17.99,
809,2024-04-24,basic,12.99,
2157,2024-04-07,premium,17.99,
265,2024-05-03,standard,12.99,
712,2024-04-22,standard,12.99,
2189,2024-02-18,premium,17.99,
352,2024-05-13,standard,17.99,
1100,2024-03-29,basic,12.99,
1315,2024-05-27,basic,12.99,
2259,2024-04-05,premium,12.99,
2064,2024-06-27,standard,7.99,
1683,2024-07-01,basic,17.99,
87,2024-01-27,standard,7.99,
2318,2024-04-15,basic,7.99,
874,2024-01-30,standard,7.99,
2632,2024-02-10,standard,12.99,
2021,2024-04-23,basic,7.99,
955,2024-01-16,standard,7.99,
861,2024-05-08,basic,7.99,
2287,2024-02-08,standard,12.99,
351,2024-07-01,basic,7.99,
1728,2024-03-22,standard,12.99,
1846,2024-05-09,standard,7.99,
509,2024-02-13,basic,17.99,
1518,2024-02-29,standard,12.99,
2198,2024-07-04,standard,17.99,
1209,2024-01-29,basic,17.99,
1444,2024-06-11,premium,7.99,
2842,2024-03-26,basic,7.99,
1667,2024-05-28,premium,17.99,
866,2024-01-12,standard,7.99,
1700,2024-07-17,standard,17.99,
1685,2024-02-18,basic,7.99,
2088,2024-03-21,premium,7.99,
2124,2024-01-23,premium,7.99,
1829,2024-04-05,basic,12.99,
666,2024-06-13,standard,7.99,
1303,2024-03-08,premium,12.99,
762,2024-05-26,premium,12.99,
544,2024-02-19,premium,17.99,
420,2024-06-10,basic,12.99,
1931,2024-05-08,basic,12.99,
1573,2024-02-03,standard,17.99,
2697,2024-05-20,basic,12.99,
1800,2024-04-03,premium,12.99,
2130,2024-05-17,premium,17.99,
2723,2024-01-27,standard,7.99,
2034,2024-06-08,basic,7.99,
84,2024-05-20,basic,12.99,
2559,2024-06-06,basic,17.99,
33,2024-07-04,basic,7.99,
612,2024-02-15,standard,12.99,
1114,2024-03-27,premium,17.99,
1669,2024-01-25,standard,12.99,
2151,2024-05-11,standard,7.99,
610,2024-03-14,premium,12.99,
2263,2024-03-31,standard,17.99,
2056,2024-03-24,standard,12.99,
2469,2024-06-19,premium,7.99,
2936,2024-06-20,premium,17.99,
1770,2024-06-30,basic,12.99,
651,2024-05-03,premium,12.99,
514,2024-06-06,premium,7.99,
1988,2024-01-23,basic,7.99,
2216,2024-03-18,standard,12.99,
2354,2024-03-07,basic,17.99,
912,2024-03-14,basic,17.99,
2729,2024-03-17,basic,7.99,
771,2024-03-25,premium,17.99,
2467,2024-06-14,standard,17.99,
2490,2024-07-13,premium,12.99,
1118,2024-05-16,premium,12.99,
1855,2024-06-01,premium,12.99,
2366,2024-02-12,premium,7.99,
347,2024-06-27,standard,17.99,
1734,2024-01-22,premium,17.99,
504,2024-06-18,standard,17.99,
1638,2024-02-02,standard,12.99,
747,2024-06-19,premium,17.99,
1893,2024-07-14,basic,12.99,
2821,2024-04-15,basic,7.99,
632,2024-01-16,premium,7.99,
1151,2024-05-21,basic,17.99,
2909,2024-04-14,standard,7.99,
1120,2024-02-07,standard,17.99,
1709,2024-05-02,premium,12.99,
1370,2024-02-22,premium,12.99,
2363,2024-04-08,standard,7.99,
1755,2024-07-22,standard,17.99,
89,2024-03-30,basic,17.99,
1665,2024-05-21,premium,7.99,
945,2024-06-07,premium,17.99,
2364,2024-01-20,basic,17.99,
1658,2024-04-29,basic,17.99,
1182,2024-07-03,basic,17.99,
2055,2024-03-28,standard,17.99,
1879,2024-04-06,premium,12.99,
2101,2024-01-23,basic,17.99,
35,2024-04-20,standard,7.99,
718,2024-05-06,standard,7.99,
891,2024-05-12,basic,12.99,
768,2024-02-18,premium,17.99,
2714,2024-05-01,premium,17.99,
1257,2024-06-20,standard,12.99,
2816,2024-06-18,basic,7.99,
1465,2024-05-23,basic,7.99,
203,2024-07-19,premium,12.99,
358,2024-07-13,premium,17.99,
2414,2024-06-17,basic,17.99,
241,2024-05-06,standard,7.99,
1292,2024-05-03,standard,12.99,
62,2024-03-07,premium,7.99,
2450,2024-02-25,premium,12.99,
2436,2024-06-13,basic,17.99,
1379,2024-05-21,basic,17.99,
1157,2024-02-11,premium,12.99,
1932,2024-05-01,standard,7.99,
1164,2024-05-27,standard,7.99,
303,2024-03-16,standard,7.99,
2452,2024-06-16,premium,7.99,
914,2024-02-01,standard,7.99,
1951,2024-01-19,premium,12.99,
1993,2024-02-24,standard,7.99,
735,2024-05-01,premium,7.99,
112,2024-02-25,basic,17.99,
616,2024-04-23,standard,17.99,
2951,2024-04-12,standard,7.99,
2691,2024-06-11,basic,17.99,
2113,2024-03-01,standard,12.99,
49,2024-01-12,basic,12.99,
1727,2024-02-01,basic,17.99,
413,2024-03-06,premium,17.99,
251,2024-05-29,premium,17.99,
2640,2024-02-03,basic,17.99,
1216,2024-05-15,premium,17.99,
928,2024-01-22,basic,7.99,
732,2024-06-11,premium,7.99,
1152,2024-07-21,premium,17.99,
194,2024-01-26,standard,17.99,
2441,2024-04-18,standard,12.99,
1012,2024-02-01,standard,17.99,
1264,2024-01-26,premium,17.99,
104,2024-01-30,standard,17.99,
1310,2024-05-04,standard,12.99,
2087,2024-05-31,premium,12.99,
1921,2024-01-28,standard,17.99,
1043,2024-02-29,standard,12.99,
997,2024-05-23,premium,12.99,
2138,2024-05-27,basic,7.99,
1391,2024-05-05,premium,7.99,
2494,2024-02-19,basic,7.99,
776,2024-02-28,standard,12.99,
1421,2024-01-29,premium,12.99,
2362,2024-03-12,premium,17.99,
30,2024-03-26,premium,17.99,
1138,2024-04-24,standard,12.99,
1806,2024-05-11,basic,7.99,
2991,2024-07-14,premium,17.99,
2840,2024-06-14,premium,12.99,
307,2024-02-08,premium,17.99,
2260,2024-05-20,basic,17.99,
1654,2024-04-10,standard,7.99,
2071,2024-01-26,basic,12.99,
334,2024-07-05,basic,17.99,
220,2024-01-15,basic,7.99,
106,2024-02-07,standard,17.99,
1220,2024-05-31,premium,7.99,
1089,2024-06-19,basic,12.99,
1923,2024-01-03,standard,17.99,
2474,2024-05-17,standard,7.99,
2022,2024-05-15,basic,7.99,
202,2024-02-24,premium,12.99,
2175,2024-04-28,standard,17.99,
2505,2024-03-09,basic,17.99,
416,2024-05-03,basic,17.99,
337,2024-01-31,standard,17.99,
2300,2024-06-09,premium,12.99,
671,2024-06-25,standard,12.99,
370,2024-02-20,basic,7.99,
60,2024-03-30,premium,17.99,
1514,2024-01-21,standard,17.99,
764,2024-04-12,premium,17.99,
2295,2024-03-21,standard,12.99,
2306,2024-05-26,basic,12.99,
2667,2024-04-18,standard,7.99,
409,2024-03-10,premium,7.99,
2627,2024-01-27,premium,17.99,
954,2024-02-19,premium,12.99,
2963,2024-06-18,basic,17.99,
1840,2024-02-19,standard,17.99,
485,2024-06-12,standard,17.99,
962,2024-06-16,premium,7.99,
204,2024-07-04,basic,12.99,
1917,2024-04-10,standard,12.99,
99,2024-06-10,standard,7.99,
355,2024-06-30,basic,12.99,
31,2024-07-14,basic,12.99,
744,2024-04-16,standard,17.99,
2015,2024-03-06,basic,7.99,
1868,2024-02-14,basic,7.99,
1286,2024-06-27,premium,7.99,
895,2024-01-13,premium,17.99,
1584,2024-03-03,premium,12.99,
2232,2024-03-27,standard,17.99,
1275,2024-01-22,standard,7.99,
2040,2024-05-01,basic,17.99,
2139,2024-02-08,basic,12.99,
2851,2024-06-17,premium,17.99,
2159,2024-04-22,basic,17.99,
1033,2024-02-10,premium,12.99,
2006,2024-07-10,standard,17.99,
2190,2024-05-23,basic,7.99,
2762,2024-03-06,premium,7.99,
2148,2024-02-22,premium,17.99,
1032,2024-01-26,basic,12.99,
1910,2024-01-27,standard,17.99,
2589,2024-01-24,basic,17.99,
256,2024-06-22,premium,12.99,
1496,2024-06-06,premium,17.99,
2979,2024-04-19,standard,12.99,
2023,2024-01-26,standard,7.99,
175,2024-07-13,premium,7.99,
1501,2024-05-23,standard,12.99,
642,2024-03-18,premium,7.99,
299,2024-01-26,premium,7.99,
2831,2024-03-13,premium,17.99,
2614,2024-02-12,premium,7.99,
1912,2024-02-10,standard,17.99,
468,2024-03-29,premium,17.99,
2879,2024-04-17,basic,17.99,
863,2024-01-24,premium,17.99,
1863,2024-03-19,premium,7.99,
141,2024-07-13,premium,12.99,
625,2024-05-29,basic,12.99,
2652,2024-05-13,premium,7.99,
1768,2024-05-01,standard,17.99,
1969,2024-02-04,standard,7.99,
2694,2024-04-11,premium,12.99,
2070,2024-04-28,standard,17.99,
2636,2024-04-24,standard,7.99,
1990,2024-02-14,basic,7.99,
951,2024-01-25,basic,17.99,
474,2024-04-20,standard,12.99,
816,2024-03-01,standard,12.99,
2255,2024-02-06,premium,17.99,
664,2024-05-05,basic,12.99,
2579,2024-01-25,premium,12.99,
1014,2024-02-05,premium,12.99,
247,2024-05-12,standard,17.99,
2910,2024-03-28,basic,7.99,
1708,2024-02-27,premium,7.99,
1568,2024-06-30,basic,17.99,
1201,2024-02-11,basic,17.99,
2476,2024-01-30,basic,12.99,
2067,2024-05-24,basic,7.99,
1219,2024-03-09,basic,12.99,
1297,2024-03-03,standard,12.99,
1158,2024-03-13,basic,12.99,
36,2024-03-10,premium,17.99,
1060,2024-06-22,premium,12.99,
2899,2024-05-11,basic,17.99,
2406,2024-04-13,basic,12.99,
1811,2024-04-21,basic,12.99,
1309,2024-02-24,premium,7.99,
2932,2024-04-08,standard,12.99,
2906,2024-07-07,standard,7.99,
2325,2024-06-25,basic,7.99,
972,2024-05-24,standard,7.99,
2324,2024-03-29,premium,12.99,
1179,2024-03-06,basic,12.99,
1762,2024-03-26,premium,17.99,
201,2024-05-24,basic,7.99,
1904,2024-03-08,basic,7.99,
447,2024-03-15,basic,7.99,
156,2024-05-11,premium,7.99,
998,2024-06-06,standard,17.99,
1377,2024-02-26,premium,17.99,
69,2024-01-07,premium,17.99,
2208,2024-01-28,standard,17.99,
1736,2024-02-22,standard,12.99,
1457,2024-01-19,standard,7.99,
574,2024-06-06,standard,7.99,
555,2024-06-06,standard,12.99,
178,2024-05-04,standard,12.99,
811,2024-04-15,standard,7.99,
796,2024-03-06,basic,7.99,
1686,2024-06-26,basic,12.99,
2845,2024-06-13,basic,17.99,
