user_id,signup_datetime,country,device_type,acquisition_channel,experiment_variant,initial_plan
284,2024-03-08,FR,mobile,organic,A,trial
285,2024-02-02,TR,mobile,paid_ads,B,free
286,2024-05-21,ES,tablet,email,B,trial
287,2024-01-21,BR,web,social,A,trial
288,2024-02-17,DE,web,email,A,free
289,2024-05-27,UK,web,social,B,premium_trial
290,2024-05-07,ES,mobile,paid_ads,A,free
291,2024-05-15,FR,tablet,organic,A,trial
292,2024-05-14,MX,mobile,email,B,free
293,2024-05-24,TR,web,social,A,premium_trial
294,2024-05-07,UK,web,referral,B,premium_trial
295,2024-02-02,FR,tablet,paid_ads,A,trial
296,2024-06-24,IT,mobile,organic,B,free
297,2024-04-24,IT,web,paid_ads,B,premium_trial
298,2024-04-28,MA,tablet,referral,B,free
299,2024-01-22,MA,mobile,organic,A,premium_trial
300,2024-06-06,FR,mobile,referral,B,trial
301,2024-02-07,ES,web,paid_ads,A,trial
302,2024-04-18,MA,web,social,B,free
303,2024-02-20,TR,mobile,paid_ads,B,trial
304,2024-01-08,UK,mobile,paid_ads,B,premium_trial
305,2024-01-27,ES,web,paid_ads,A,trial
306,2024-01-27,MA,mobile,email,A,premium_trial
307,2024-01-21,CA,web,referral,B,premium_trial
308,2024-01-30,BR,mobile,referral,A,trial
309,2024-04-06,CA,web,referral,A,premium_trial
310,2024-01-28,EG,tablet,email,A,premium_trial
311,2024-04-20,IT,web,social,B,free
312,2024-03-01,MX,web,paid_ads,A,free
313,2024-02-17,US,tablet,social,B,free
314,2024-05-26,BR,mobile,email,B,trial
315,2024-01-04,IT,tablet,referral,B,free
316,2024-02-04,ES,web,paid_ads,A,premium_trial
317,2024-02-18,ES,mobile,organic,B,trial
318,2024-01-17,ES,tablet,organic,A,trial
319,2024-06-20,MX,mobile,social,A,trial
320,2024-06-06,CA,mobile,referral,B,trial
321,2024-02-15,US,tablet,organic,B,premium_trial
322,2024-04-26,TR,mobile,social,B,premium_trial
323,2024-01-06,MA,tablet,email,A,free
324,2024-04-08,ES,web,social,A,trial
325,2024-05-03,IN,mobile,social,B,free
326,2024-02-06,EG,web,social,B,premium_trial
327,2024-01-24,BR,web,paid_ads,A,trial
328,2024-04-02,UK,mobile,social,A,premium_trial
329,2024-02-15,MA,tablet,social,B,free
330,2024-04-04,IN,mobile,paid_ads,A,premium_trial
331,2024-04-08,US,web,paid_ads,A,trial
332,2024-04-25,MX,web,email,A,trial
333,2024-06-08,TR,tablet,referral,A,free
334,2024-06-09,TR,mobile,organic,A,trial
335,2024-03-07,US,web,organic,A,premium_trial
336,2024-05-07,UK,web,social,B,premium_trial
337,2024-01-18,BR,web,email,A,premium_trial
338,2024-01-25,ID,tablet,social,B,premium_trial
339,2024-02-23,UK,web,organic,B,free
340,2024-02-27,ZA,web,paid_ads,A,premium_trial
341,2024-03-07,TR,mobile,referral,B,free
342,2024-04-13,FR,mobile,email,B,premium_trial
343,2024-06-22,BR,web,paid_ads,B,free
344,2024-01-24,US,web,referral,A,premium_trial
345,2024-04-23,TR,mobile,email,B,premium_trial
346,2024-02-01,TR,tablet,email,A,free
347,2024-06-23,ES,tablet,organic,B,trial
348,2024-03-26,US,tablet,paid_ads,B,trial
349,2024-05-30,ID,tablet,email,B,trial
350,2024-05-06,US,tablet,email,B,free
351,2024-06-03,ID,tablet,referral,A,trial
352,2024-05-09,BR,tablet,organic,B,trial
353,2024-01-17,EG,tablet,social,B,free
354,2024-04-13,FR,mobile,organic,A,trial
355,2024-06-09,MA,tablet,social,A,trial
356,2024-05-16,US,tablet,paid_ads,A,trial
357,2024-02-12,IN,tablet,paid_ads,B,free
358,2024-06-24,IT,web,email,A,free
359,2024-02-08,DE,mobile,paid_ads,A,trial
360,2024-06-18,DE,mobile,email,A,trial
361,2024-01-26,US,mobile,organic,A,free
362,2024-04-08,ZA,tablet,paid_ads,A,trial
363,2024-02-19,ID,tablet,organic,A,free
364,2024-06-01,IN,web,organic,B,trial
365,2024-05-31,EG,mobile,paid_ads,A,free
366,2024-01-13,ES,tablet,organic,B,premium_trial
367,2024-02-29,ID,mobile,paid_ads,A,premium_trial
368,2024-05-14,MX,web,paid_ads,A,free
369,2024-02-26,MX,web,paid_ads,A,premium_trial
370,2024-02-05,BR,web,social,B,trial
371,2024-06-21,DE,mobile,organic,A,free
372,2024-01-20,US,tablet,referral,A,free
373,2024-03-05,MX,tablet,paid_ads,A,trial
374,2024-01-08,US,web,organic,A,trial
375,2024-05-23,BR,tablet,email,B,free
376,2024-05-21,DE,web,paid_ads,B,trial
377,2024-04-24,UK,mobile,paid_ads,B,free
378,2024-05-22,EG,web,referral,B,trial
379,2024-04-01,IT,mobile,social,B,free
380,2024-04-07,IT,web,social,A,trial
381,2024-03-06,MX,tablet,paid_ads,A,trial
382,2024-02-01,IT,tablet,organic,A,premium_trial
383,2024-03-26,TR,web,email,B,premium_trial
384,2024-02-20,ZA,tablet,email,A,premium_trial
385,2024-06-01,EG,tablet,organic,B,trial
386,2024-03-03,ID,tablet,paid_ads,A,free
387,2024-05-04,UK,mobile,email,B,trial
388,2024-05-29,EG,tablet,social,A,premium_trial
389,2024-02-27,TR,mobile,organic,A,trial
390,2024-02-27,AU,web,referral,A,premium_trial
391,2024-03-26,ID,tablet,paid_ads,A,premium_trial
392,2024-02-18,TR,tablet,organic,B,free
393,2024-06-28,US,tablet,email,A,free
394,2024-06-18,BR,web,paid_ads,A,premium_trial
395,2024-03-10,MA,mobile,social,A,premium_trial
396,2024-01-15,UK,mobile,paid_ads,B,trial
397,2024-02-23,MA,tablet,paid_ads,A,premium_trial
398,2024-04-10,BR,web,social,A,trial
399,2024-01-08,BR,web,social,A,premium_trial
400,2024-02-22,TR,web,paid_ads,A,free
401,2024-02-29,DE,web,social,A,free
402,2024-04-17,TR,web,organic,B,premium_trial
403,2024-01-05,MA,mobile,social,B,trial
404,2024-04-12,TR,mobile,social,B,trial
405,2024-01-06,ZA,mobile,paid_ads,A,trial
406,2024-04-18,US,tablet,organic,B,premium_trial
407,2024-04-25,TR,web,referral,A,premium_trial
408,2024-04-03,IN,tablet,referral,A,free
409,2024-02-16,IT,web,email,A,free
410,2024-04-08,MA,mobile,social,A,premium_trial
411,2024-02-24,IN,tablet,social,B,free
412,2024-06-16,DE,mobile,organic,B,trial
413,2024-02-21,BR,web,referral,B,trial
414,2024-05-23,MX,web,email,A,premium_trial
415,2024-01-13,EG,web,organic,B,trial
416,2024-04-23,ID,mobile,social,B,premium_trial
417,2024-05-03,IT,web,referral,A,trial
418,2024-04-15,ID,mobile,email,B,premium_trial
419,2024-06-06,TR,tablet,paid_ads,A,trial
420,2024-05-26,AU,web,referral,B,trial
421,2024-05-24,IT,web,email,B,free
422,2024-04-29,US,web,organic,B,free
423,2024-03-03,AU,tablet,paid_ads,A,free
424,2024-01-19,FR,web,email,B,free
425,2024-04-01,CA,mobile,email,B,free
426,2024-02-27,CA,mobile,social,B,free
427,2024-03-30,CA,web,referral,B,premium_trial
428,2024-04-26,FR,web,social,A,premium_trial
429,2024-03-02,ID,tablet,paid_ads,A,free
430,2024-01-23,US,tablet,email,B,premium_trial
431,2024-05-06,AU,tablet,social,B,free
432,2024-05-16,FR,web,referral,B,premium_trial
433,2024-05-19,CA,tablet,paid_ads,A,trial
434,2024-05-08,DE,tablet,organic,B,premium_trial
435,2024-02-27,UK,mobile,social,B,premium_trial
436,2024-05-01,AU,tablet,paid_ads,A,premium_trial
437,2024-01-01,MA,mobile,organic,A,trial
438,2024-02-03,BR,mobile,social,A,free
439,2024-04-05,FR,tablet,paid_ads,B,premium_trial
440,2024-05-05,US,mobile,paid_ads,A,premium_trial
441,2024-04-27,US,web,social,A,trial
442,2024-02-17,MA,web,paid_ads,B,free
443,2024-03-29,IN,tablet,email,A,premium_trial
444,2024-04-26,UK,web,social,B,trial
445,2024-05-08,AU,mobile,paid_ads,B,free
446,2024-01-16,MX,web,organic,A,free
447,2024-03-09,IT,tablet,organic,B,premium_trial
448,2024-01-22,CA,tablet,email,A,premium_trial
449,2024-04-02,AU,mobile,social,A,premium_trial
450,2024-03-16,TR,tablet,paid_ads,A,premium_trial
451,2024-06-02,MX,web,paid_ads,B,trial
452,2024-05-23,IN,tablet,organic,A,trial
453,2024-06-27,CA,mobile,email,B,premium_trial
454,2024-03-26,UK,tablet,organic,B,free
455,2024-01-29,EG,web,organic,B,premium_trial
456,2024-03-09,TR,mobile,email,A,free
457,2024-02-16,IN,web,social,B,free
458,2024-04-03,ID,mobile,paid_ads,B,free
459,2024-05-23,CA,tablet,social,A,trial
460,2024-06-24,UK,mobile,referral,A,free
461,2024-03-25,ES,mobile,referral,B,free
462,2024-02-08,MX,tablet,referral,B,trial
463,2024-04-09,MX,web,email,A,free
464,2024-02-02,IT,tablet,organic,B,free
465,2024-04-10,MA,mobile,social,B,premium_trial
466,2024-01-23,UK,tablet,paid_ads,B,free
467,2024-01-10,FR,mobile,referral,B,free
468,2024-03-09,ES,tablet,social,A,free
469,2024-04-09,EG,tablet,referral,B,free
470,2024-02-03,DE,web,referral,A,free
471,2024-06-28,CA,mobile,paid_ads,B,trial
472,2024-05-17,TR,web,email,A,free
473,2024-05-26,ES,mobile,organic,B,free
474,2024-04-05,UK,tablet,email,A,trial
475,2024-01-01,ZA,mobile,social,B,trial
476,2024-03-09,ID,web,email,A,free
477,2024-01-04,BR,web,social,B,free
478,2024-01-16,CA,web,social,B,free
479,2024-01-24,US,mobile,organic,A,premium_trial
480,2024-03-20,MX,web,paid_ads,A,premium_trial
481,2024-01-02,ID,web,organic,A,free
482,2024-05-07,MA,web,email,A,trial
483,2024-06-08,UK,tablet,social,A,free
484,2024-03-24,EG,tablet,referral,B,trial
485,2024-05-31,US,mobile,referral,A,trial
486,2024-05-19,IT,mobile,social,A,trial
487,2024-06-26,TR,web,organic,B,free
488,2024-06-11,AU,tablet,paid_ads,A,free
489,2024-05-03,IN,web,organic,A,trial
490,2024-02-02,DE,web,social,A,premium_trial
491,2024-06-09,DE,tablet,social,B,premium_trial
492,2024-06-27,ID,tablet,paid_ads,A,premium_trial
493,2024-06-19,US,tablet,email,B,trial
494,2024-04-10,AU,mobile,email,B,free
495,2024-01-12,AU,mobile,paid_ads,A,trial
496,2024-03-07,MX,web,email,B,premium_trial
497,2024-03-05,IT,mobile,referral,A,free
498,2024-06-09,BR,tablet,email,A,trial
499,2024-06-16,MX,tablet,email,A,trial
500,2024-03-14,ES,mobile,email,A,premium_trial
501,2024-02-12,MA,web,referral,A,trial
502,2024-02-13,DE,web,email,B,free
503,2024-01-29,ES,mobile,referral,B,premium_trial
504,2024-05-20,EG,web,paid_ads,B,premium_trial
505,2024-01-12,CA,web,organic,B,free
506,2024-04-04,FR,web,paid_ads,A,premium_trial
507,2024-02-15,UK,tablet,organic,A,trial
508,2024-05-09,TR,tablet,paid_ads,B,trial
509,2024-02-04,IT,mobile,organic,A,premium_trial
510,2024-03-21,MX,tablet,organic,B,free
511,2024-03-30,DE,web,social,B,trial
512,2024-01-08,ES,tablet,organic,B,free
513,2024-04-02,IN,mobile,organic,B,trial
514,2024-06-02,ID,tablet,social,A,trial
515,2024-03-30,MA,web,email,A,premium_trial
516,2024-06-10,MA,web,email,B,premium_trial
517,2024-04-24,CA,mobile,social,B,free
518,2024-04-14,ZA,tablet,referral,B,premium_trial
519,2024-05-14,UK,tablet,organic,B,trial
520,2024-02-27,UK,tablet,organic,B,trial
521,2024-04-23,MA,web,social,A,free
522,2024-03-15,MA,mobile,social,B,free
523,2024-06-05,AU,tablet,referral,B,trial
524,2024-04-29,MX,web,email,A,premium_trial
525,2024-06-12,AU,web,paid_ads,A,premium_trial
526,2024-01-21,IT,web,email,A,free
527,2024-06-12,BR,tablet,organic,A,free
528,2024-05-17,EG,tablet,social,A,trial
529,2024-04-10,ZA,tablet,referral,A,trial
530,2024-05-31,ZA,tablet,email,A,free
531,2024-06-25,IN,tablet,referral,A,trial
532,2024-04-08,EG,tablet,email,A,free
533,2024-02-05,MX,tablet,organic,B,free
534,2024-04-05,ES,tablet,paid_ads,A,premium_trial
535,2024-05-31,FR,tablet,referral,B,free
536,2024-05-30,MA,web,referral,B,trial
537,2024-02-06,US,tablet,paid_ads,B,premium_trial
538,2024-01-12,BR,mobile,referral,B,premium_trial
539,2024-04-22,IT,web,referral,B,trial
540,2024-01-13,CA,tablet,email,B,trial
541,2024-01-23,BR,mobile,email,B,trial
542,2024-04-08,MA,tablet,paid_ads,B,free
543,2024-04-14,DE,mobile,organic,A,premium_trial
544,2024-01-30,IT,mobile,referral,B,free
545,2024-01-17,FR,mobile,organic,B,free
546,2024-04-22,DE,mobile,paid_ads,B,free
547,2024-03-02,BR,web,paid_ads,B,free
548,2024-03-24,US,web,email,A,premium_trial
549,2024-04-21,US,mobile,referral,B,premium_trial
550,2024-03-26,AU,tablet,social,A,free
551,2024-05-20,FR,mobile,paid_ads,A,trial
552,2024-01-19,UK,web,referral,B,premium_trial
553,2024-06-25,TR,tablet,organic,B,free
554,2024-04-09,IN,web,email,A,trial
555,2024-05-19,MA,web,organic,B,trial
556,2024-05-26,CA,tablet,paid_ads,B,free
557,2024-03-16,MA,mobile,paid_ads,A,premium_trial
558,2024-01-09,UK,mobile,organic,A,trial
559,2024-01-28,EG,mobile,paid_ads,B,premium_trial
560,2024-05-07,AU,mobile,referral,B,premium_trial
561,2024-02-21,AU,tablet,paid_ads,B,trial
562,2024-03-23,EG,tablet,email,A,free
563,2024-04-20,ID,tablet,referral,B,trial
564,2024-05-23,EG,web,social,A,trial
565,2024-04-26,US,tablet,paid_ads,A,premium_trial
566,2024-03-09,US,mobile,paid_ads,B,free
567,2024-04-08,ES,web,email,A,premium_trial
568,2024-05-19,ZA,mobile,email,B,trial
569,2024-01-25,DE,mobile,organic,B,free
570,2024-06-28,BR,tablet,organic,A,free
571,2024-05-02,CA,tablet,organic,B,free
572,2024-02-22,ZA,mobile,email,A,free
573,2024-05-30,FR,mobile,organic,A,free
